Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6182
2048.0,0,Male,[0:5),6182
2048.0,1,Male,[0:200),68357
2048.0,0,Male,[0:200),68357
2048.0,1,Male,[5:10),6010
2048.0,0,Male,[5:10),6010
2048.0,1,Male,[10:15),6148
2048.0,0,Male,[10:15),6148
2048.0,1,Male,[15:20),6103
2048.0,0,Male,[15:20),6103
2048.0,1,Male,[20:25),5920
2048.0,0,Male,[20:25),5920
2048.0,1,Male,[25:30),5679
2048.0,0,Male,[25:30),5679
2048.0,1,Male,[30:35),5483
2048.0,0,Male,[30:35),5483
2048.0,1,Male,[35:40),5058
2048.0,0,Male,[35:40),5058
2048.0,1,Male,[40:45),4580
2048.0,0,Male,[40:45),4580
2048.0,1,Male,[45:50),4099
2048.0,0,Male,[45:50),4099
2048.0,1,Male,[50:55),3960
2048.0,0,Male,[50:55),3960
2048.0,1,Male,[55:60),3386
2048.0,0,Male,[55:60),3386
2048.0,1,Male,[60:65),2510
2048.0,0,Male,[60:65),2510
2048.0,1,Male,[65:70),1556
2048.0,0,Male,[65:70),1556
2048.0,1,Male,[70:75),840
2048.0,0,Male,[70:75),840
2048.0,1,Male,[75:80),526
2048.0,0,Male,[75:80),526
2048.0,1,Female,[0:5),6112
2048.0,0,Female,[0:5),6112
2048.0,1,Female,[0:200),72973
2048.0,0,Female,[0:200),72973
2048.0,1,Female,[5:10),6042
2048.0,0,Female,[5:10),6042
2048.0,1,Female,[10:15),6204
2048.0,0,Female,[10:15),6204
2048.0,1,Female,[15:20),6021
2048.0,0,Female,[15:20),6021
2048.0,1,Female,[20:25),5916
2048.0,0,Female,[20:25),5916
2048.0,1,Female,[25:30),5965
2048.0,0,Female,[25:30),5965
2048.0,1,Female,[30:35),5656
2048.0,0,Female,[30:35),5656
2048.0,1,Female,[35:40),5285
2048.0,0,Female,[35:40),5285
2048.0,1,Female,[40:45),4860
2048.0,0,Female,[40:45),4860
2048.0,1,Female,[45:50),4541
2048.0,0,Female,[45:50),4541
2048.0,1,Female,[50:55),4268
2048.0,0,Female,[50:55),4268
2048.0,1,Female,[55:60),3938
2048.0,0,Female,[55:60),3938
2048.0,1,Female,[60:65),3035
2048.0,0,Female,[60:65),3035
2048.0,1,Female,[65:70),1912
2048.0,0,Female,[65:70),1912
2048.0,1,Female,[70:75),1335
2048.0,0,Female,[70:75),1335
2048.0,1,Female,[75:80),931
2048.0,0,Female,[75:80),931
2049.0,1,Male,[0:5),6222
2049.0,0,Male,[0:5),6222
2049.0,1,Male,[0:200),69045
2049.0,0,Male,[0:200),69045
2049.0,1,Male,[5:10),5994
2049.0,0,Male,[5:10),5994
2049.0,1,Male,[10:15),6221
2049.0,0,Male,[10:15),6221
2049.0,1,Male,[15:20),6004
2049.0,0,Male,[15:20),6004
2049.0,1,Male,[20:25),5969
2049.0,0,Male,[20:25),5969
2049.0,1,Male,[25:30),5734
2049.0,0,Male,[25:30),5734
2049.0,1,Male,[30:35),5501
2049.0,0,Male,[30:35),5501
2049.0,1,Male,[35:40),5136
2049.0,0,Male,[35:40),5136
2049.0,1,Male,[40:45),4680
2049.0,0,Male,[40:45),4680
2049.0,1,Male,[45:50),4176
2049.0,0,Male,[45:50),4176
2049.0,1,Male,[50:55),3932
2049.0,0,Male,[50:55),3932
2049.0,1,Male,[55:60),3449
2049.0,0,Male,[55:60),3449
2049.0,1,Male,[60:65),2627
2049.0,0,Male,[60:65),2627
2049.0,1,Male,[65:70),1657
2049.0,0,Male,[65:70),1657
2049.0,1,Male,[70:75),875
2049.0,0,Male,[70:75),875
2049.0,1,Male,[75:80),519
2049.0,0,Male,[75:80),519
2049.0,1,Female,[0:5),6155
2049.0,0,Female,[0:5),6155
2049.0,1,Female,[0:200),73832
2049.0,0,Female,[0:200),73832
2049.0,1,Female,[5:10),6059
2049.0,0,Female,[5:10),6059
2049.0,1,Female,[10:15),6188
2049.0,0,Female,[10:15),6188
2049.0,1,Female,[15:20),6054
2049.0,0,Female,[15:20),6054
2049.0,1,Female,[20:25),5898
2049.0,0,Female,[20:25),5898
2049.0,1,Female,[25:30),5943
2049.0,0,Female,[25:30),5943
2049.0,1,Female,[30:35),5768
2049.0,0,Female,[30:35),5768
2049.0,1,Female,[35:40),5310
2049.0,0,Female,[35:40),5310
2049.0,1,Female,[40:45),4956
2049.0,0,Female,[40:45),4956
2049.0,1,Female,[45:50),4540
2049.0,0,Female,[45:50),4540
2049.0,1,Female,[50:55),4328
2049.0,0,Female,[50:55),4328
2049.0,1,Female,[55:60),4003
2049.0,0,Female,[55:60),4003
2049.0,1,Female,[60:65),3228
2049.0,0,Female,[60:65),3228
2049.0,1,Female,[65:70),2078
2049.0,0,Female,[65:70),2078
2049.0,1,Female,[70:75),1373
2049.0,0,Female,[70:75),1373
2049.0,1,Female,[75:80),971
2049.0,0,Female,[75:80),971
2050.0,1,Male,[0:5),6197
2050.0,0,Male,[0:5),6197
2050.0,1,Male,[0:200),69710
2050.0,0,Male,[0:200),69710
2050.0,1,Male,[5:10),6016
2050.0,0,Male,[5:10),6016
2050.0,1,Male,[10:15),6259
2050.0,0,Male,[10:15),6259
2050.0,1,Male,[15:20),5976
2050.0,0,Male,[15:20),5976
2050.0,1,Male,[20:25),5953
2050.0,0,Male,[20:25),5953
2050.0,1,Male,[25:30),5724
2050.0,0,Male,[25:30),5724
2050.0,1,Male,[30:35),5629
2050.0,0,Male,[30:35),5629
2050.0,1,Male,[35:40),5179
2050.0,0,Male,[35:40),5179
2050.0,1,Male,[40:45),4836
2050.0,0,Male,[40:45),4836
2050.0,1,Male,[45:50),4147
2050.0,0,Male,[45:50),4147
2050.0,1,Male,[50:55),3915
2050.0,0,Male,[50:55),3915
2050.0,1,Male,[55:60),3537
2050.0,0,Male,[55:60),3537
2050.0,1,Male,[60:65),2703
2050.0,0,Male,[60:65),2703
2050.0,1,Male,[65:70),1779
2050.0,0,Male,[65:70),1779
2050.0,1,Male,[70:75),963
2050.0,0,Male,[70:75),963
2050.0,1,Male,[75:80),518
2050.0,0,Male,[75:80),518
2050.0,1,Female,[0:5),6145
2050.0,0,Female,[0:5),6145
2050.0,1,Female,[0:200),74612
2050.0,0,Female,[0:200),74612
2050.0,1,Female,[5:10),6030
2050.0,0,Female,[5:10),6030
2050.0,1,Female,[10:15),6241
2050.0,0,Female,[10:15),6241
2050.0,1,Female,[15:20),6076
2050.0,0,Female,[15:20),6076
2050.0,1,Female,[20:25),5886
2050.0,0,Female,[20:25),5886
2050.0,1,Female,[25:30),5901
2050.0,0,Female,[25:30),5901
2050.0,1,Female,[30:35),5862
2050.0,0,Female,[30:35),5862
2050.0,1,Female,[35:40),5369
2050.0,0,Female,[35:40),5369
2050.0,1,Female,[40:45),4996
2050.0,0,Female,[40:45),4996
2050.0,1,Female,[45:50),4594
2050.0,0,Female,[45:50),4594
2050.0,1,Female,[50:55),4379
2050.0,0,Female,[50:55),4379
2050.0,1,Female,[55:60),4072
2050.0,0,Female,[55:60),4072
2050.0,1,Female,[60:65),3398
2050.0,0,Female,[60:65),3398
2050.0,1,Female,[65:70),2215
2050.0,0,Female,[65:70),2215
2050.0,1,Female,[70:75),1438
2050.0,0,Female,[70:75),1438
2050.0,1,Female,[75:80),987
2050.0,0,Female,[75:80),987
2039.0,1,Male,[0:5),6196
2039.0,0,Male,[0:5),6196
2039.0,1,Male,[0:200),61602
2039.0,0,Male,[0:200),61602
2039.0,1,Male,[5:10),5953
2039.0,0,Male,[5:10),5953
2039.0,1,Male,[10:15),6126
2039.0,0,Male,[10:15),6126
2039.0,1,Male,[15:20),5920
2039.0,0,Male,[15:20),5920
2039.0,1,Male,[20:25),5601
2039.0,0,Male,[20:25),5601
2039.0,1,Male,[25:30),5229
2039.0,0,Male,[25:30),5229
2039.0,1,Male,[30:35),4861
2039.0,0,Male,[30:35),4861
2039.0,1,Male,[35:40),4419
2039.0,0,Male,[35:40),4419
2039.0,1,Male,[40:45),4212
2039.0,0,Male,[40:45),4212
2039.0,1,Male,[45:50),3904
2039.0,0,Male,[45:50),3904
2039.0,1,Male,[50:55),3280
2039.0,0,Male,[50:55),3280
2039.0,1,Male,[55:60),2275
2039.0,0,Male,[55:60),2275
2039.0,1,Male,[60:65),1446
2039.0,0,Male,[60:65),1446
2039.0,1,Male,[65:70),1036
2039.0,0,Male,[65:70),1036
2039.0,1,Male,[70:75),657
2039.0,0,Male,[70:75),657
2039.0,1,Male,[75:80),323
2039.0,0,Male,[75:80),323
2039.0,1,Female,[0:5),6135
2039.0,0,Female,[0:5),6135
2039.0,1,Female,[0:200),65108
2039.0,0,Female,[0:200),65108
2039.0,1,Female,[5:10),6009
2039.0,0,Female,[5:10),6009
2039.0,1,Female,[10:15),6075
2039.0,0,Female,[10:15),6075
2039.0,1,Female,[15:20),6115
2039.0,0,Female,[15:20),6115
2039.0,1,Female,[20:25),5811
2039.0,0,Female,[20:25),5811
2039.0,1,Female,[25:30),5303
2039.0,0,Female,[25:30),5303
2039.0,1,Female,[30:35),5043
2039.0,0,Female,[30:35),5043
2039.0,1,Female,[35:40),4663
2039.0,0,Female,[35:40),4663
2039.0,1,Female,[40:45),4438
2039.0,0,Female,[40:45),4438
2039.0,1,Female,[45:50),4275
2039.0,0,Female,[45:50),4275
2039.0,1,Female,[50:55),3616
2039.0,0,Female,[50:55),3616
2039.0,1,Female,[55:60),2395
2039.0,0,Female,[55:60),2395
2039.0,1,Female,[60:65),1711
2039.0,0,Female,[60:65),1711
2039.0,1,Female,[65:70),1331
2039.0,0,Female,[65:70),1331
2039.0,1,Female,[70:75),1041
2039.0,0,Female,[70:75),1041
2039.0,1,Female,[75:80),679
2039.0,0,Female,[75:80),679
2040.0,1,Male,[0:5),6218
2040.0,0,Male,[0:5),6218
2040.0,1,Male,[0:200),62437
2040.0,0,Male,[0:200),62437
2040.0,1,Male,[5:10),5919
2040.0,0,Male,[5:10),5919
2040.0,1,Male,[10:15),6113
2040.0,0,Male,[10:15),6113
2040.0,1,Male,[15:20),5903
2040.0,0,Male,[15:20),5903
2040.0,1,Male,[20:25),5733
2040.0,0,Male,[20:25),5733
2040.0,1,Male,[25:30),5278
2040.0,0,Male,[25:30),5278
2040.0,1,Male,[30:35),5014
2040.0,0,Male,[30:35),5014
2040.0,1,Male,[35:40),4382
2040.0,0,Male,[35:40),4382
2040.0,1,Male,[40:45),4219
2040.0,0,Male,[40:45),4219
2040.0,1,Male,[45:50),4006
2040.0,0,Male,[45:50),4006
2040.0,1,Male,[50:55),3375
2040.0,0,Male,[50:55),3375
2040.0,1,Male,[55:60),2444
2040.0,0,Male,[55:60),2444
2040.0,1,Male,[60:65),1571
2040.0,0,Male,[60:65),1571
2040.0,1,Male,[65:70),1059
2040.0,0,Male,[65:70),1059
2040.0,1,Male,[70:75),701
2040.0,0,Male,[70:75),701
2040.0,1,Male,[75:80),341
2040.0,0,Male,[75:80),341
2040.0,1,Female,[0:5),6168
2040.0,0,Female,[0:5),6168
2040.0,1,Female,[0:200),66063
2040.0,0,Female,[0:200),66063
2040.0,1,Female,[5:10),6030
2040.0,0,Female,[5:10),6030
2040.0,1,Female,[10:15),6064
2040.0,0,Female,[10:15),6064
2040.0,1,Female,[15:20),6061
2040.0,0,Female,[15:20),6061
2040.0,1,Female,[20:25),5932
2040.0,0,Female,[20:25),5932
2040.0,1,Female,[25:30),5347
2040.0,0,Female,[25:30),5347
2040.0,1,Female,[30:35),5087
2040.0,0,Female,[30:35),5087
2040.0,1,Female,[35:40),4714
2040.0,0,Female,[35:40),4714
2040.0,1,Female,[40:45),4468
2040.0,0,Female,[40:45),4468
2040.0,1,Female,[45:50),4373
2040.0,0,Female,[45:50),4373
2040.0,1,Female,[50:55),3780
2040.0,0,Female,[50:55),3780
2040.0,1,Female,[55:60),2585
2040.0,0,Female,[55:60),2585
2040.0,1,Female,[60:65),1780
2040.0,0,Female,[60:65),1780
2040.0,1,Female,[65:70),1367
2040.0,0,Female,[65:70),1367
2040.0,1,Female,[70:75),1087
2040.0,0,Female,[70:75),1087
2040.0,1,Female,[75:80),748
2040.0,0,Female,[75:80),748
2041.0,1,Male,[0:5),6195
2041.0,0,Male,[0:5),6195
2041.0,1,Male,[0:200),63269
2041.0,0,Male,[0:200),63269
2041.0,1,Male,[5:10),5903
2041.0,0,Male,[5:10),5903
2041.0,1,Male,[10:15),6173
2041.0,0,Male,[10:15),6173
2041.0,1,Male,[15:20),5999
2041.0,0,Male,[15:20),5999
2041.0,1,Male,[20:25),5701
2041.0,0,Male,[20:25),5701
2041.0,1,Male,[25:30),5311
2041.0,0,Male,[25:30),5311
2041.0,1,Male,[30:35),5125
2041.0,0,Male,[30:35),5125
2041.0,1,Male,[35:40),4479
2041.0,0,Male,[35:40),4479
2041.0,1,Male,[40:45),4180
2041.0,0,Male,[40:45),4180
2041.0,1,Male,[45:50),4053
2041.0,0,Male,[45:50),4053
2041.0,1,Male,[50:55),3546
2041.0,0,Male,[50:55),3546
2041.0,1,Male,[55:60),2596
2041.0,0,Male,[55:60),2596
2041.0,1,Male,[60:65),1634
2041.0,0,Male,[60:65),1634
2041.0,1,Male,[65:70),1075
2041.0,0,Male,[65:70),1075
2041.0,1,Male,[70:75),755
2041.0,0,Male,[70:75),755
2041.0,1,Male,[75:80),367
2041.0,0,Male,[75:80),367
2041.0,1,Female,[0:5),6195
2041.0,0,Female,[0:5),6195
2041.0,1,Female,[0:200),67046
2041.0,0,Female,[0:200),67046
2041.0,1,Female,[5:10),6060
2041.0,0,Female,[5:10),6060
2041.0,1,Female,[10:15),6038
2041.0,0,Female,[10:15),6038
2041.0,1,Female,[15:20),6054
2041.0,0,Female,[15:20),6054
2041.0,1,Female,[20:25),6038
2041.0,0,Female,[20:25),6038
2041.0,1,Female,[25:30),5396
2041.0,0,Female,[25:30),5396
2041.0,1,Female,[30:35),5191
2041.0,0,Female,[30:35),5191
2041.0,1,Female,[35:40),4705
2041.0,0,Female,[35:40),4705
2041.0,1,Female,[40:45),4544
2041.0,0,Female,[40:45),4544
2041.0,1,Female,[45:50),4397
2041.0,0,Female,[45:50),4397
2041.0,1,Female,[50:55),3930
2041.0,0,Female,[50:55),3930
2041.0,1,Female,[55:60),2780
2041.0,0,Female,[55:60),2780
2041.0,1,Female,[60:65),1884
2041.0,0,Female,[60:65),1884
2041.0,1,Female,[65:70),1428
2041.0,0,Female,[65:70),1428
2041.0,1,Female,[70:75),1101
2041.0,0,Female,[70:75),1101
2041.0,1,Female,[75:80),803
2041.0,0,Female,[75:80),803
2042.0,1,Male,[0:5),6175
2042.0,0,Male,[0:5),6175
2042.0,1,Male,[0:200),64031
2042.0,0,Male,[0:200),64031
2042.0,1,Male,[5:10),5932
2042.0,0,Male,[5:10),5932
2042.0,1,Male,[10:15),6264
2042.0,0,Male,[10:15),6264
2042.0,1,Male,[15:20),5938
2042.0,0,Male,[15:20),5938
2042.0,1,Male,[20:25),5738
2042.0,0,Male,[20:25),5738
2042.0,1,Male,[25:30),5399
2042.0,0,Male,[25:30),5399
2042.0,1,Male,[30:35),5152
2042.0,0,Male,[30:35),5152
2042.0,1,Male,[35:40),4587
2042.0,0,Male,[35:40),4587
2042.0,1,Male,[40:45),4191
2042.0,0,Male,[40:45),4191
2042.0,1,Male,[45:50),4041
2042.0,0,Male,[45:50),4041
2042.0,1,Male,[50:55),3674
2042.0,0,Male,[50:55),3674
2042.0,1,Male,[55:60),2697
2042.0,0,Male,[55:60),2697
2042.0,1,Male,[60:65),1771
2042.0,0,Male,[60:65),1771
2042.0,1,Male,[65:70),1097
2042.0,0,Male,[65:70),1097
2042.0,1,Male,[70:75),769
2042.0,0,Male,[70:75),769
2042.0,1,Male,[75:80),402
2042.0,0,Male,[75:80),402
2042.0,1,Female,[0:5),6214
2042.0,0,Female,[0:5),6214
2042.0,1,Female,[0:200),67988
2042.0,0,Female,[0:200),67988
2042.0,1,Female,[5:10),6014
2042.0,0,Female,[5:10),6014
2042.0,1,Female,[10:15),6155
2042.0,0,Female,[10:15),6155
2042.0,1,Female,[15:20),5987
2042.0,0,Female,[15:20),5987
2042.0,1,Female,[20:25),6101
2042.0,0,Female,[20:25),6101
2042.0,1,Female,[25:30),5447
2042.0,0,Female,[25:30),5447
2042.0,1,Female,[30:35),5298
2042.0,0,Female,[30:35),5298
2042.0,1,Female,[35:40),4781
2042.0,0,Female,[35:40),4781
2042.0,1,Female,[40:45),4582
2042.0,0,Female,[40:45),4582
2042.0,1,Female,[45:50),4418
2042.0,0,Female,[45:50),4418
2042.0,1,Female,[50:55),4011
2042.0,0,Female,[50:55),4011
2042.0,1,Female,[55:60),2979
2042.0,0,Female,[55:60),2979
2042.0,1,Female,[60:65),1987
2042.0,0,Female,[60:65),1987
2042.0,1,Female,[65:70),1484
2042.0,0,Female,[65:70),1484
2042.0,1,Female,[70:75),1096
2042.0,0,Female,[70:75),1096
2042.0,1,Female,[75:80),844
2042.0,0,Female,[75:80),844
2043.0,1,Male,[0:5),6164
2043.0,0,Male,[0:5),6164
2043.0,1,Male,[0:200),64761
2043.0,0,Male,[0:200),64761
2043.0,1,Male,[5:10),5994
2043.0,0,Male,[5:10),5994
2043.0,1,Male,[10:15),6207
2043.0,0,Male,[10:15),6207
2043.0,1,Male,[15:20),5948
2043.0,0,Male,[15:20),5948
2043.0,1,Male,[20:25),5818
2043.0,0,Male,[20:25),5818
2043.0,1,Male,[25:30),5461
2043.0,0,Male,[25:30),5461
2043.0,1,Male,[30:35),5165
2043.0,0,Male,[30:35),5165
2043.0,1,Male,[35:40),4670
2043.0,0,Male,[35:40),4670
2043.0,1,Male,[40:45),4232
2043.0,0,Male,[40:45),4232
2043.0,1,Male,[45:50),4095
2043.0,0,Male,[45:50),4095
2043.0,1,Male,[50:55),3711
2043.0,0,Male,[50:55),3711
2043.0,1,Male,[55:60),2850
2043.0,0,Male,[55:60),2850
2043.0,1,Male,[60:65),1885
2043.0,0,Male,[60:65),1885
2043.0,1,Male,[65:70),1140
2043.0,0,Male,[65:70),1140
2043.0,1,Male,[70:75),790
2043.0,0,Male,[70:75),790
2043.0,1,Male,[75:80),405
2043.0,0,Male,[75:80),405
