Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.005124701059104886
2048.0,0,Male,[15:20),0.005124701059104886
2048.0,1,Male,[20:25),0.01961453180965376
2048.0,0,Male,[20:25),0.01961453180965376
2048.0,1,Male,[25:30),0.045587981350371266
2048.0,0,Male,[25:30),0.045587981350371266
2048.0,1,Male,[30:35),0.07820299500831947
2048.0,0,Male,[30:35),0.07820299500831947
2048.0,1,Male,[35:40),0.12408759124087591
2048.0,0,Male,[35:40),0.12408759124087591
2048.0,1,Male,[40:45),0.1776937618147448
2048.0,0,Male,[40:45),0.1776937618147448
2048.0,1,Male,[45:50),0.2399905793688177
2048.0,0,Male,[45:50),0.2399905793688177
2048.0,1,Male,[50:55),0.3350146004778338
2048.0,0,Male,[50:55),0.3350146004778338
2048.0,1,Male,[55:60),0.4408732565191025
2048.0,0,Male,[55:60),0.4408732565191025
2048.0,1,Male,[60:65),0.5555555555555556
2048.0,0,Male,[60:65),0.5555555555555556
2048.0,1,Male,[65:200),0.6054769786337647
2048.0,0,Male,[65:200),0.6054769786337647
2048.0,1,Female,[15:20),0.03747899159663866
2048.0,0,Female,[15:20),0.03747899159663866
2048.0,1,Female,[20:25),0.09327115256495669
2048.0,0,Female,[20:25),0.09327115256495669
2048.0,1,Female,[25:30),0.14415807560137456
2048.0,0,Female,[25:30),0.14415807560137456
2048.0,1,Female,[30:35),0.19972115719762984
2048.0,0,Female,[30:35),0.19972115719762984
2048.0,1,Female,[35:40),0.2576710501238803
2048.0,0,Female,[35:40),0.2576710501238803
2048.0,1,Female,[40:45),0.3142979819665092
2048.0,0,Female,[40:45),0.3142979819665092
2048.0,1,Female,[45:50),0.3711111111111111
2048.0,0,Female,[45:50),0.3711111111111111
2048.0,1,Female,[50:55),0.4580049538392254
2048.0,0,Female,[50:55),0.4580049538392254
2048.0,1,Female,[55:60),0.5458470916941834
2048.0,0,Female,[55:60),0.5458470916941834
2048.0,1,Female,[60:65),0.6138581652569941
2048.0,0,Female,[60:65),0.6138581652569941
2048.0,1,Female,[65:200),0.5960474308300395
2048.0,0,Female,[65:200),0.5960474308300395
2049.0,1,Male,[15:20),0.005002587545282043
2049.0,0,Male,[15:20),0.005002587545282043
2049.0,1,Male,[20:25),0.019081391421816953
2049.0,0,Male,[20:25),0.019081391421816953
2049.0,1,Male,[25:30),0.045634578956431894
2049.0,0,Male,[25:30),0.045634578956431894
2049.0,1,Male,[30:35),0.07785843920145191
2049.0,0,Male,[30:35),0.07785843920145191
2049.0,1,Male,[35:40),0.12075471698113208
2049.0,0,Male,[35:40),0.12075471698113208
2049.0,1,Male,[40:45),0.17735306206329635
2049.0,0,Male,[40:45),0.17735306206329635
2049.0,1,Male,[45:50),0.22954279015240328
2049.0,0,Male,[45:50),0.22954279015240328
2049.0,1,Male,[50:55),0.3282841472969444
2049.0,0,Male,[50:55),0.3282841472969444
2049.0,1,Male,[55:60),0.424962852897474
2049.0,0,Male,[55:60),0.424962852897474
2049.0,1,Male,[60:65),0.5317073170731708
2049.0,0,Male,[60:65),0.5317073170731708
2049.0,1,Male,[65:200),0.6124497991967871
2049.0,0,Male,[65:200),0.6124497991967871
2049.0,1,Female,[15:20),0.033683508420877105
2049.0,0,Female,[15:20),0.033683508420877105
2049.0,1,Female,[20:25),0.09923025435073628
2049.0,0,Female,[20:25),0.09923025435073628
2049.0,1,Female,[25:30),0.13793103448275862
2049.0,0,Female,[25:30),0.13793103448275862
2049.0,1,Female,[30:35),0.19892004877199093
2049.0,0,Female,[30:35),0.19892004877199093
2049.0,1,Female,[35:40),0.24995360920393395
2049.0,0,Female,[35:40),0.24995360920393395
2049.0,1,Female,[40:45),0.3107486407360937
2049.0,0,Female,[40:45),0.3107486407360937
2049.0,1,Female,[45:50),0.3680071893956414
2049.0,0,Female,[45:50),0.3680071893956414
2049.0,1,Female,[50:55),0.44104410441044106
2049.0,0,Female,[50:55),0.44104410441044106
2049.0,1,Female,[55:60),0.5290128108515448
2049.0,0,Female,[55:60),0.5290128108515448
2049.0,1,Female,[60:65),0.6140135218192994
2049.0,0,Female,[60:65),0.6140135218192994
2049.0,1,Female,[65:200),0.6023511849225602
2049.0,0,Female,[65:200),0.6023511849225602
2050.0,1,Male,[15:20),0.00535405872193437
2050.0,0,Male,[15:20),0.00535405872193437
2050.0,1,Male,[20:25),0.019049224544841536
2050.0,0,Male,[20:25),0.019049224544841536
2050.0,1,Male,[25:30),0.04766839378238342
2050.0,0,Male,[25:30),0.04766839378238342
2050.0,1,Male,[30:35),0.07526120063750665
2050.0,0,Male,[30:35),0.07526120063750665
2050.0,1,Male,[35:40),0.12042197452229299
2050.0,0,Male,[35:40),0.12042197452229299
2050.0,1,Male,[40:45),0.17664851784633998
2050.0,0,Male,[40:45),0.17664851784633998
2050.0,1,Male,[45:50),0.21907635182176838
2050.0,0,Male,[45:50),0.21907635182176838
2050.0,1,Male,[50:55),0.3145951521402785
2050.0,0,Male,[50:55),0.3145951521402785
2050.0,1,Male,[55:60),0.4101734783887092
2050.0,0,Male,[55:60),0.4101734783887092
2050.0,1,Male,[60:65),0.5179856115107914
2050.0,0,Male,[60:65),0.5179856115107914
2050.0,1,Male,[65:200),0.6093073593073594
2050.0,0,Male,[65:200),0.6093073593073594
2050.0,1,Female,[15:20),0.03334444814938313
2050.0,0,Female,[15:20),0.03334444814938313
2050.0,1,Female,[20:25),0.09700739744451917
2050.0,0,Female,[20:25),0.09700739744451917
2050.0,1,Female,[25:30),0.1410844807071222
2050.0,0,Female,[25:30),0.1410844807071222
2050.0,1,Female,[30:35),0.19215482979091067
2050.0,0,Female,[30:35),0.19215482979091067
2050.0,1,Female,[35:40),0.2501851851851852
2050.0,0,Female,[35:40),0.2501851851851852
2050.0,1,Female,[40:45),0.30387409200968524
2050.0,0,Female,[40:45),0.30387409200968524
2050.0,1,Female,[45:50),0.35970416853428955
2050.0,0,Female,[45:50),0.35970416853428955
2050.0,1,Female,[50:55),0.4285393258426966
