Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[15:20),0.00187809458767287
2048.0,0,Male,[15:20),0.00187809458767287
2048.0,1,Male,[20:25),0.015517241379310345
2048.0,0,Male,[20:25),0.015517241379310345
2048.0,1,Male,[25:30),0.04865713289152424
2048.0,0,Male,[25:30),0.04865713289152424
2048.0,1,Male,[30:35),0.08438287153652393
2048.0,0,Male,[30:35),0.08438287153652393
2048.0,1,Male,[35:40),0.1294524730307348
2048.0,0,Male,[35:40),0.1294524730307348
2048.0,1,Male,[40:45),0.1884963377854373
2048.0,0,Male,[40:45),0.1884963377854373
2048.0,1,Male,[45:50),0.2619792920780159
2048.0,0,Male,[45:50),0.2619792920780159
2048.0,1,Male,[50:55),0.3459390862944162
2048.0,0,Male,[50:55),0.3459390862944162
2048.0,1,Male,[55:60),0.4410427402243104
2048.0,0,Male,[55:60),0.4410427402243104
2048.0,1,Male,[60:65),0.5537757437070938
2048.0,0,Male,[60:65),0.5537757437070938
2048.0,1,Male,[65:200),0.6220948742438713
2048.0,0,Male,[65:200),0.6220948742438713
2048.0,1,Female,[15:20),0.031554212823095
2048.0,0,Female,[15:20),0.031554212823095
2048.0,1,Female,[20:25),0.09254327563249001
2048.0,0,Female,[20:25),0.09254327563249001
2048.0,1,Female,[25:30),0.15081329561527582
2048.0,0,Female,[25:30),0.15081329561527582
2048.0,1,Female,[30:35),0.21809954751131222
2048.0,0,Female,[30:35),0.21809954751131222
2048.0,1,Female,[35:40),0.2746978707078458
2048.0,0,Female,[35:40),0.2746978707078458
2048.0,1,Female,[40:45),0.33416562630045776
2048.0,0,Female,[40:45),0.33416562630045776
2048.0,1,Female,[45:50),0.40967446125630447
2048.0,0,Female,[45:50),0.40967446125630447
2048.0,1,Female,[50:55),0.47907411737198974
2048.0,0,Female,[50:55),0.47907411737198974
2048.0,1,Female,[55:60),0.5736196319018405
2048.0,0,Female,[55:60),0.5736196319018405
2048.0,1,Female,[60:65),0.6544141778798819
2048.0,0,Female,[60:65),0.6544141778798819
2048.0,1,Female,[65:200),0.6403647898493259
2048.0,0,Female,[65:200),0.6403647898493259
2049.0,1,Male,[15:20),0.002222982216142271
2049.0,0,Male,[15:20),0.002222982216142271
2049.0,1,Male,[20:25),0.014845503193509408
2049.0,0,Male,[20:25),0.014845503193509408
2049.0,1,Male,[25:30),0.04786590634180059
2049.0,0,Male,[25:30),0.04786590634180059
2049.0,1,Male,[30:35),0.08439805650530861
2049.0,0,Male,[30:35),0.08439805650530861
2049.0,1,Male,[35:40),0.1259810827128195
2049.0,0,Male,[35:40),0.1259810827128195
2049.0,1,Male,[40:45),0.18690801936434434
2049.0,0,Male,[40:45),0.18690801936434434
2049.0,1,Male,[45:50),0.2496406324868232
2049.0,0,Male,[45:50),0.2496406324868232
2049.0,1,Male,[50:55),0.3394657258064516
2049.0,0,Male,[50:55),0.3394657258064516
2049.0,1,Male,[55:60),0.4230995875073659
2049.0,0,Male,[55:60),0.4230995875073659
2049.0,1,Male,[60:65),0.537023186237846
2049.0,0,Male,[60:65),0.537023186237846
2049.0,1,Male,[65:200),0.6287675320799762
2049.0,0,Male,[65:200),0.6287675320799762
2049.0,1,Female,[15:20),0.03364016736401674
2049.0,0,Female,[15:20),0.03364016736401674
2049.0,1,Female,[20:25),0.0929144385026738
2049.0,0,Female,[20:25),0.0929144385026738
2049.0,1,Female,[25:30),0.1505488761108207
2049.0,0,Female,[25:30),0.1505488761108207
2049.0,1,Female,[30:35),0.21420824295010846
2049.0,0,Female,[30:35),0.21420824295010846
2049.0,1,Female,[35:40),0.2648882209280481
2049.0,0,Female,[35:40),0.2648882209280481
2049.0,1,Female,[40:45),0.329971181556196
2049.0,0,Female,[40:45),0.329971181556196
2049.0,1,Female,[45:50),0.39851317864383873
2049.0,0,Female,[45:50),0.39851317864383873
2049.0,1,Female,[50:55),0.4738937017092016
2049.0,0,Female,[50:55),0.4738937017092016
2049.0,1,Female,[55:60),0.5506123469132717
2049.0,0,Female,[55:60),0.5506123469132717
2049.0,1,Female,[60:65),0.6464487743557511
2049.0,0,Female,[60:65),0.6464487743557511
2049.0,1,Female,[65:200),0.6507698084866692
2049.0,0,Female,[65:200),0.6507698084866692
2050.0,1,Male,[15:20),0.0027072758037225042
2050.0,0,Male,[15:20),0.0027072758037225042
2050.0,1,Male,[20:25),0.016390614216701172
2050.0,0,Male,[20:25),0.016390614216701172
2050.0,1,Male,[25:30),0.04565894154271878
2050.0,0,Male,[25:30),0.04565894154271878
2050.0,1,Male,[30:35),0.08542348237004725
2050.0,0,Male,[30:35),0.08542348237004725
2050.0,1,Male,[35:40),0.12276264591439688
2050.0,0,Male,[35:40),0.12276264591439688
2050.0,1,Male,[40:45),0.1797963001454999
2050.0,0,Male,[40:45),0.1797963001454999
2050.0,1,Male,[45:50),0.2426748582230624
2050.0,0,Male,[45:50),0.2426748582230624
2050.0,1,Male,[50:55),0.33425692695214104
2050.0,0,Male,[50:55),0.33425692695214104
2050.0,1,Male,[55:60),0.4114269308067758
2050.0,0,Male,[55:60),0.4114269308067758
2050.0,1,Male,[60:65),0.516546762589928
2050.0,0,Male,[60:65),0.516546762589928
2050.0,1,Male,[65:200),0.6297645739910314
2050.0,0,Male,[65:200),0.6297645739910314
2050.0,1,Female,[15:20),0.035732175655368174
2050.0,0,Female,[15:20),0.035732175655368174
2050.0,1,Female,[20:25),0.0936713110626154
2050.0,0,Female,[20:25),0.0936713110626154
2050.0,1,Female,[25:30),0.14770768700448123
2050.0,0,Female,[25:30),0.14770768700448123
2050.0,1,Female,[30:35),0.20747260643075266
2050.0,0,Female,[30:35),0.20747260643075266
2050.0,1,Female,[35:40),0.2665304606240713
2050.0,0,Female,[35:40),0.2665304606240713
2050.0,1,Female,[40:45),0.32305227318245544
2050.0,0,Female,[40:45),0.32305227318245544
2050.0,1,Female,[45:50),0.38825118163403105
2050.0,0,Female,[45:50),0.38825118163403105
2050.0,1,Female,[50:55),0.46261355695317957
2050.0,0,Female,[50:55),0.46261355695317957
2050.0,1,Female,[55:60),0.5348370927318296
2050.0,0,Female,[55:60),0.5348370927318296
2050.0,1,Female,[60:65),0.6344624447717231
2050.0,0,Female,[60:65),0.6344624447717231
2050.0,1,Female,[65:200),0.6557289819084782
2050.0,0,Female,[65:200),0.6557289819084782
2011.5,1,Male,[15:20),0.020509499136442143
2011.5,0,Male,[15:20),0.020509499136442143
2011.5,1,Male,[20:25),0.0847457627118644
2011.5,0,Male,[20:25),0.0847457627118644
2011.5,1,Male,[25:30),0.2305491990846682
2011.5,0,Male,[25:30),0.2305491990846682
2011.5,1,Male,[30:35),0.3415915915915916
2011.5,0,Male,[30:35),0.3415915915915916
2011.5,1,Male,[35:40),0.44401913875598087
2011.5,0,Male,[35:40),0.44401913875598087
2011.5,1,Male,[40:45),0.4592680047225502
2011.5,0,Male,[40:45),0.4592680047225502
2011.5,1,Male,[45:50),0.42109199700822736
2011.5,0,Male,[45:50),0.42109199700822736
2011.5,1,Male,[50:55),0.2714486638537271
2011.5,0,Male,[50:55),0.2714486638537271
2011.5,1,Male,[55:60),0.19397363465160075
2011.5,0,Male,[55:60),0.19397363465160075
2011.5,1,Male,[60:65),0.1358313817330211
2011.5,0,Male,[60:65),0.1358313817330211
2011.5,1,Male,[65:200),0.08129032258064516
2011.5,0,Male,[65:200),0.08129032258064516
2011.5,1,Female,[15:20),0.08618449545257688
2011.5,0,Female,[15:20),0.08618449545257688
2011.5,1,Female,[20:25),0.2864501679731243
2011.5,0,Female,[20:25),0.2864501679731243
2011.5,1,Female,[25:30),0.459348400352216
2011.5,0,Female,[25:30),0.459348400352216
2011.5,1,Female,[30:35),0.5292500981546918
2011.5,0,Female,[30:35),0.5292500981546918
2011.5,1,Female,[35:40),0.5092307692307693
2011.5,0,Female,[35:40),0.5092307692307693
2011.5,1,Female,[40:45),0.4395992928697702
2011.5,0,Female,[40:45),0.4395992928697702
2011.5,1,Female,[45:50),0.3347427766032417
2011.5,0,Female,[45:50),0.3347427766032417
2011.5,1,Female,[50:55),0.2607052896725441
2011.5,0,Female,[50:55),0.2607052896725441
2011.5,1,Female,[55:60),0.20304568527918782
2011.5,0,Female,[55:60),0.20304568527918782
2011.5,1,Female,[60:65),0.14492753623188406
2011.5,0,Female,[60:65),0.14492753623188406
2011.5,1,Female,[65:200),0.07681564245810056
2011.5,0,Female,[65:200),0.07681564245810056
2016.5,1,Male,[15:20),0.020452567449956483
2016.5,0,Male,[15:20),0.020452567449956483
2016.5,1,Male,[20:25),0.05896536606751425
2016.5,0,Male,[20:25),0.05896536606751425
2016.5,1,Male,[25:30),0.171764130168828
2016.5,0,Male,[25:30),0.171764130168828
2016.5,1,Male,[30:35),0.31115690314983807
2016.5,0,Male,[30:35),0.31115690314983807
2016.5,1,Male,[35:40),0.400974025974026
2016.5,0,Male,[35:40),0.400974025974026
2016.5,1,Male,[40:45),0.4871244635193133
2016.5,0,Male,[40:45),0.4871244635193133
2016.5,1,Male,[45:50),0.4554588077695914
2016.5,0,Male,[45:50),0.4554588077695914
2016.5,1,Male,[50:55),0.41047297297297297
2016.5,0,Male,[50:55),0.41047297297297297
2016.5,1,Male,[55:60),0.271523178807947
2016.5,0,Male,[55:60),0.271523178807947
2016.5,1,Male,[60:65),0.214123006833713
2016.5,0,Male,[60:65),0.214123006833713
2016.5,1,Male,[65:200),0.10062111801242236
2016.5,0,Male,[65:200),0.10062111801242236
2016.5,1,Female,[15:20),0.08050938916468811
2016.5,0,Female,[15:20),0.08050938916468811
2016.5,1,Female,[20:25),0.23217028746982665
2016.5,0,Female,[20:25),0.23217028746982665
2016.5,1,Female,[25:30),0.4041705716963449
2016.5,0,Female,[25:30),0.4041705716963449
2016.5,1,Female,[30:35),0.5280830280830281
2016.5,0,Female,[30:35),0.5280830280830281
2016.5,1,Female,[35:40),0.5706452973428933
2016.5,0,Female,[35:40),0.5706452973428933
2016.5,1,Female,[40:45),0.5258764607679466
2016.5,0,Female,[40:45),0.5258764607679466
2016.5,1,Female,[45:50),0.45190445448676564
2016.5,0,Female,[45:50),0.45190445448676564
2016.5,1,Female,[50:55),0.3475609756097561
2016.5,0,Female,[50:55),0.3475609756097561
2016.5,1,Female,[55:60),0.2443502824858757
2016.5,0,Female,[55:60),0.2443502824858757
2016.5,1,Female,[60:65),0.19553072625698323
2016.5,0,Female,[60:65),0.19553072625698323
2016.5,1,Female,[65:200),0.10110893672537508
2016.5,0,Female,[65:200),0.10110893672537508
2021.5,1,Male,[15:20),0.01990968801313629
2021.5,0,Male,[15:20),0.01990968801313629
2021.5,1,Male,[20:25),0.039181157825225625
2021.5,0,Male,[20:25),0.039181157825225625
2021.5,1,Male,[25:30),0.11378059836808703
2021.5,0,Male,[25:30),0.11378059836808703
2021.5,1,Male,[30:35),0.22106824925816024
2021.5,0,Male,[30:35),0.22106824925816024
2021.5,1,Male,[35:40),0.35825450106805007
2021.5,0,Male,[35:40),0.35825450106805007
2021.5,1,Male,[40:45),0.4436830835117773
2021.5,0,Male,[40:45),0.4436830835117773
2021.5,1,Male,[45:50),0.5143526654950205
2021.5,0,Male,[45:50),0.5143526654950205
2021.5,1,Male,[50:55),0.4722822174226062
2021.5,0,Male,[50:55),0.4722822174226062
2021.5,1,Male,[55:60),0.439047619047619
2021.5,0,Male,[55:60),0.439047619047619
2021.5,1,Male,[60:65),0.2737642585551331
2021.5,0,Male,[60:65),0.2737642585551331
2021.5,1,Male,[65:200),0.16043425814234016
2021.5,0,Male,[65:200),0.16043425814234016
2021.5,1,Female,[15:20),0.068125
2021.5,0,Female,[15:20),0.068125
2021.5,1,Female,[20:25),0.17825234255829156
2021.5,0,Female,[20:25),0.17825234255829156
2021.5,1,Female,[25:30),0.3165158371040724
2021.5,0,Female,[25:30),0.3165158371040724
2021.5,1,Female,[30:35),0.46211238050827697
2021.5,0,Female,[30:35),0.46211238050827697
2021.5,1,Female,[35:40),0.567103620474407
2021.5,0,Female,[35:40),0.567103620474407
2021.5,1,Female,[40:45),0.6035451794206658
2021.5,0,Female,[40:45),0.6035451794206658
2021.5,1,Female,[45:50),0.5620311598384304
2021.5,0,Female,[45:50),0.5620311598384304
2021.5,1,Female,[50:55),0.4838070059484468
2021.5,0,Female,[50:55),0.4838070059484468
2021.5,1,Female,[55:60),0.36
2021.5,0,Female,[55:60),0.36
2021.5,1,Female,[60:65),0.24622356495468278
2021.5,0,Female,[60:65),0.24622356495468278
2021.5,1,Female,[65:200),0.1442065491183879
2021.5,0,Female,[65:200),0.1442065491183879
2007.5,1,Male,[15:20),0.013482632541133455
2007.5,0,Male,[15:20),0.013482632541133455
2007.5,1,Male,[20:25),0.09933093154915079
2007.5,0,Male,[20:25),0.09933093154915079
2007.5,1,Male,[25:30),0.23732960503320516
2007.5,0,Male,[25:30),0.23732960503320516
2007.5,1,Male,[30:35),0.3593815294609277
2007.5,0,Male,[30:35),0.3593815294609277
2007.5,1,Male,[35:40),0.4011071967790639
2007.5,0,Male,[35:40),0.4011071967790639
2007.5,1,Male,[40:45),0.4131483715319662
2007.5,0,Male,[40:45),0.4131483715319662
2007.5,1,Male,[45:50),0.3302373581011352
2007.5,0,Male,[45:50),0.3302373581011352
2007.5,1,Male,[50:55),0.21351766513056836
2007.5,0,Male,[50:55),0.21351766513056836
2007.5,1,Male,[55:60),0.15500945179584122
2007.5,0,Male,[55:60),0.15500945179584122
2007.5,1,Male,[60:65),0.15151515151515152
2007.5,0,Male,[60:65),0.15151515151515152
2007.5,1,Male,[65:200),0.06901041666666667
2007.5,0,Male,[65:200),0.06901041666666667
2007.5,1,Female,[15:20),0.09110442629995702
2007.5,0,Female,[15:20),0.09110442629995702
2007.5,1,Female,[20:25),0.29856209150326796
2007.5,0,Female,[20:25),0.29856209150326796
2007.5,1,Female,[25:30),0.4656622284512964
2007.5,0,Female,[25:30),0.4656622284512964
2007.5,1,Female,[30:35),0.4871906209292228
2007.5,0,Female,[30:35),0.4871906209292228
2007.5,1,Female,[35:40),0.44294294294294295
2007.5,0,Female,[35:40),0.44294294294294295
2007.5,1,Female,[40:45),0.35891238670694864
2007.5,0,Female,[40:45),0.35891238670694864
2007.5,1,Female,[45:50),0.30018587360594795
2007.5,0,Female,[45:50),0.30018587360594795
2007.5,1,Female,[50:55),0.19970193740685543
2007.5,0,Female,[50:55),0.19970193740685543
2007.5,1,Female,[55:60),0.14396284829721362
2007.5,0,Female,[55:60),0.14396284829721362
2007.5,1,Female,[60:65),0.11317254174397032
2007.5,0,Female,[60:65),0.11317254174397032
2007.5,1,Female,[65:200),0.07844574780058651
2007.5,0,Female,[65:200),0.07844574780058651
1981.0,1,Male,[15:20),0.0
1981.0,0,Male,[15:20),0.0
1981.0,1,Male,[20:25),0.0
1981.0,0,Male,[20:25),0.0
1981.0,1,Male,[25:30),0.0
1981.0,0,Male,[25:30),0.0
1981.0,1,Male,[30:35),0.0
1981.0,0,Male,[30:35),0.0
1981.0,1,Male,[35:40),0.0
1981.0,0,Male,[35:40),0.0
1981.0,1,Male,[40:45),0.0
1981.0,0,Male,[40:45),0.0
1981.0,1,Male,[45:50),0.0
1981.0,0,Male,[45:50),0.0
1981.0,1,Male,[50:55),0.0
1981.0,0,Male,[50:55),0.0
1981.0,1,Male,[55:60),0.0
1981.0,0,Male,[55:60),0.0
1981.0,1,Male,[60:65),0.0
1981.0,0,Male,[60:65),0.0
1981.0,1,Male,[65:200),0.0
1981.0,0,Male,[65:200),0.0
1981.0,1,Female,[15:20),0.0
1981.0,0,Female,[15:20),0.0
1981.0,1,Female,[20:25),0.0
1981.0,0,Female,[20:25),0.0
1981.0,1,Female,[25:30),0.0
1981.0,0,Female,[25:30),0.0
1981.0,1,Female,[30:35),0.0
1981.0,0,Female,[30:35),0.0
1981.0,1,Female,[35:40),0.0
1981.0,0,Female,[35:40),0.0
1981.0,1,Female,[40:45),0.0
1981.0,0,Female,[40:45),0.0
1981.0,1,Female,[45:50),0.0
1981.0,0,Female,[45:50),0.0
1981.0,1,Female,[50:55),0.0
1981.0,0,Female,[50:55),0.0
1981.0,1,Female,[55:60),0.0
1981.0,0,Female,[55:60),0.0
1981.0,1,Female,[60:65),0.0
1981.0,0,Female,[60:65),0.0
1981.0,1,Female,[65:200),0.0
1981.0,0,Female,[65:200),0.0
1982.0,1,Male,[15:20),0.0
1982.0,0,Male,[15:20),0.0
1982.0,1,Male,[20:25),0.0
1982.0,0,Male,[20:25),0.0
1982.0,1,Male,[25:30),0.0
1982.0,0,Male,[25:30),0.0
1982.0,1,Male,[30:35),0.0
1982.0,0,Male,[30:35),0.0
1982.0,1,Male,[35:40),0.0
1982.0,0,Male,[35:40),0.0
1982.0,1,Male,[40:45),0.0
1982.0,0,Male,[40:45),0.0
1982.0,1,Male,[45:50),0.0
1982.0,0,Male,[45:50),0.0
1982.0,1,Male,[50:55),0.0
1982.0,0,Male,[50:55),0.0
1982.0,1,Male,[55:60),0.0
1982.0,0,Male,[55:60),0.0
1982.0,1,Male,[60:65),0.0
1982.0,0,Male,[60:65),0.0
1982.0,1,Male,[65:200),0.0
1982.0,0,Male,[65:200),0.0
1982.0,1,Female,[15:20),0.0
1982.0,0,Female,[15:20),0.0
1982.0,1,Female,[20:25),0.0
1982.0,0,Female,[20:25),0.0
1982.0,1,Female,[25:30),0.0
1982.0,0,Female,[25:30),0.0
1982.0,1,Female,[30:35),0.0
1982.0,0,Female,[30:35),0.0
